==============================================================================
UCOM.h : 72 simbolos, 45 sin casar, 54124 bytes pendientes
==============================================================================
      8B    0.0% linea:756   zPhysics             UTL::FixedVector<IModel *, 434, 16>::GetMaxCapacity(void) const
      8B    0.0% linea:756   zPhysics             UTL::FixedVector<IInputPlayer *, 8, 16>::GetMaxCapacity(void) const
      8B    0.0% linea:756   zPhysics             UTL::FixedVector<IHud *, 2, 16>::GetMaxCapacity(void) const
      8B    0.0% linea:756   zPhysics             UTL::FixedVector<IExplosion *, 96, 16>::GetMaxCapacity(void) const
      8B    0.0% linea:756   zPhysics             UTL::FixedVector<IDisposable *, 160, 16>::GetMaxCapacity(void) const
      8B    0.0% linea:756   zPhysics             UTL::FixedVector<ICollisionBody *, 160, 16>::GetMaxCapacity(void) const
      8B    0.0% linea:756   zCamera              UTL::FixedVector<IDebugWatchCar *, 2, 16>::GetMaxCapacity(void) const
      8B    0.0% linea:756   zCamera              UTL::FixedVector<CameraAI::Director *, 2, 16>::GetMaxCapacity(void) const
      8B    0.0% linea:750   zSpeech              UTL::FixedVector<Speech::SpeechEventPair, 264, 16>::GetGrowSize(unsigned int) const
      8B    0.0% linea:750   zSpeech              UTL::FixedVector<Speech::HistoryPair, 264, 16>::GetGrowSize(unsigned int) const
      8B    0.0% linea:750   zSim                 UTL::FixedVector<UTL::Collections::GarbageNode<Sim::Model, 434>::Collector::_Node, 434, 
      8B    0.0% linea:750   zSim                 UTL::FixedVector<UTL::Collections::GarbageNode<Sim::Entity, 8>::Collector::_Node, 8, 16>
      8B    0.0% linea:750   zSim                 UTL::FixedVector<UTL::Collections::GarbageNode<Sim::Activity, 40>::Collector::_Node, 40,
      8B    0.0% linea:750   zPhysics             UTL::FixedVector<UTL::Collections::_KeyedNode, 40, 16>::GetGrowSize(unsigned int) const
      8B    0.0% linea:750   zPhysics             UTL::FixedVector<UTL::Collections::_KeyedNode, 160, 16>::GetGrowSize(unsigned int) const
      8B    0.0% linea:750   zPhysics             UTL::FixedVector<UTL::Collections::_KeyedNode, 10, 16>::GetGrowSize(unsigned int) const
      8B    0.0% linea:750   zPhysics             UTL::FixedVector<UTL::Collections::GarbageNode<PhysicsObject, 160>::Collector::_Node, 16
      8B    0.0% linea:750   zPhysics             UTL::FixedVector<Smackable *, 160, 16>::GetGrowSize(unsigned int) const
      8B    0.0% linea:750   zPhysics             UTL::FixedVector<Sim::IEntity *, 8, 16>::GetGrowSize(unsigned int) const
      8B    0.0% linea:750   zPhysics             UTL::FixedVector<PVehicle::ManageNode, 10, 16>::GetGrowSize(unsigned int) const
      8B    0.0% linea:750   zPhysics             UTL::FixedVector<IVehicleCache *, 18, 16>::GetGrowSize(unsigned int) const
      8B    0.0% linea:750   zPhysics             UTL::FixedVector<ITrafficCenter *, 8, 16>::GetGrowSize(unsigned int) const
      8B    0.0% linea:750   zPhysics             UTL::FixedVector<ISpikeable *, 10, 16>::GetGrowSize(unsigned int) const
      8B    0.0% linea:750   zPhysics             UTL::FixedVector<ISimpleBody *, 96, 16>::GetGrowSize(unsigned int) const
      8B    0.0% linea:750   zPhysics             UTL::FixedVector<IRoadBlock *, 8, 16>::GetGrowSize(unsigned int) const
      8B    0.0% linea:750   zPhysics             UTL::FixedVector<IRigidBody *, 160, 16>::GetGrowSize(unsigned int) const
      8B    0.0% linea:750   zPhysics             UTL::FixedVector<IRecordablePlayer *, 8, 16>::GetGrowSize(unsigned int) const
      8B    0.0% linea:750   zPhysics             UTL::FixedVector<IPursuit *, 8, 16>::GetGrowSize(unsigned int) const
      8B    0.0% linea:750   zPhysics             UTL::FixedVector<IPlayer *, 8, 16>::GetGrowSize(unsigned int) const
      8B    0.0% linea:750   zPhysics             UTL::FixedVector<IModel *, 434, 16>::GetGrowSize(unsigned int) const
      8B    0.0% linea:750   zPhysics             UTL::FixedVector<IInputPlayer *, 8, 16>::GetGrowSize(unsigned int) const
      8B    0.0% linea:750   zPhysics             UTL::FixedVector<IHud *, 2, 16>::GetGrowSize(unsigned int) const
      8B    0.0% linea:750   zPhysics             UTL::FixedVector<IExplosion *, 96, 16>::GetGrowSize(unsigned int) const
      8B    0.0% linea:750   zPhysics             UTL::FixedVector<IDisposable *, 160, 16>::GetGrowSize(unsigned int) const
      8B    0.0% linea:750   zPhysics             UTL::FixedVector<ICollisionBody *, 160, 16>::GetGrowSize(unsigned int) const
      8B    0.0% linea:750   zCamera              UTL::FixedVector<IDebugWatchCar *, 2, 16>::GetGrowSize(unsigned int) const
      8B    0.0% linea:750   zCamera              UTL::FixedVector<CameraAI::Director *, 2, 16>::GetGrowSize(unsigned int) const
      4B    0.0% linea:766   zSpeech              UTL::FixedVector<Speech::SpeechEventPair, 264, 16>::FreeVectorSpace(Speech::SpeechEventP
      4B    0.0% linea:766   zSpeech              UTL::FixedVector<Speech::HistoryPair, 264, 16>::FreeVectorSpace(Speech::HistoryPair *, u
